Height,Remaining_lease,district_C,district_N,district_E,district_S,district_W,Improved,Model_A,New_Gen,Premium,Simplified,Rel_value
3,52,1,0,0,0,0,1,0,0,0,0,1
3,59.66666667,1,0,0,0,0,1,0,0,0,0,0
3,55.66666667,0,0,1,0,0,1,0,0,0,0,0
3,53.91666667,0,0,1,0,0,1,0,0,0,0,0
3,55.41666667,0,0,1,0,0,1,0,0,0,0,0
3,53.66666667,0,0,1,0,0,1,0,0,0,0,0
3,53.58333333,0,0,1,0,0,1,0,0,0,0,0
3,55.25,0,0,1,0,0,1,0,0,0,0,0
3,55.25,0,0,1,0,0,1,0,0,0,0,0
3,55.25,0,0,1,0,0,1,0,0,0,0,0
3,55.16666667,0,0,1,0,0,1,0,0,0,0,0
3,53.25,0,0,1,0,0,1,0,0,0,0,0
3,54.83333333,0,0,1,0,0,1,0,0,0,0,0
3,54.83333333,0,0,1,0,0,1,0,0,0,0,0
3,54.75,0,0,1,0,0,1,0,0,0,0,0
3,52.83333333,0,0,1,0,0,1,0,0,0,0,0
3,53,0,0,1,0,0,1,0,0,0,0,0
3,52.66666667,0,0,1,0,0,1,0,0,0,0,0
3,53.83333333,0,1,0,0,0,1,0,0,0,0,0
3,53.75,0,1,0,0,0,1,0,0,0,0,0
3,54.25,0,0,0,1,0,1,0,0,0,0,0
3,53.58333333,0,0,0,1,0,1,0,0,0,0,0
3,53.41666667,0,0,0,1,0,1,0,0,0,0,0
3,52.5,0,0,0,1,0,1,0,0,0,0,0
3,48.08333333,0,0,0,1,0,1,0,0,0,0,0
3,51.75,0,0,0,1,0,1,0,0,0,0,0
3,51.83333333,0,0,0,1,0,1,0,0,0,0,0
3,52.08333333,0,0,0,0,1,1,0,0,0,0,0
3,51.5,0,0,0,0,1,1,0,0,0,0,0
3,51.41666667,0,0,0,0,1,1,0,0,0,0,0
3,80.58333333,1,0,0,0,0,0,1,0,0,0,0
3,80.5,1,0,0,0,0,0,1,0,0,0,0
3,80.25,1,0,0,0,0,0,1,0,0,0,0
3,80.83333333,1,0,0,0,0,0,1,0,0,0,0
3,79.75,1,0,0,0,0,0,1,0,0,0,0
3,65.58333333,0,0,1,0,0,0,1,0,0,0,0
3,65.08333333,0,0,1,0,0,0,1,0,0,0,0
3,84,0,0,1,0,0,0,1,0,0,0,0
3,88.41666667,0,0,1,0,0,0,1,0,0,0,0
3,94.75,0,0,1,0,0,0,1,0,0,0,0
3,88.33333333,0,0,1,0,0,0,1,0,0,0,1
3,65.66666667,0,0,1,0,0,0,1,0,0,0,0
3,65.08333333,0,0,1,0,0,0,1,0,0,0,0
3,79,0,0,1,0,0,0,1,0,0,0,0
3,83.91666667,0,0,1,0,0,0,1,0,0,0,0
3,94.66666667,0,0,1,0,0,0,1,0,0,0,0
3,88.25,0,0,1,0,0,0,1,0,0,0,1
3,88.16666667,0,0,1,0,0,0,1,0,0,0,1
3,62,0,0,1,0,0,0,1,0,0,0,0
3,88.08333333,0,0,1,0,0,0,1,0,0,0,0
3,94.58333333,0,0,1,0,0,0,1,0,0,0,0
3,62.91666667,0,0,1,0,0,0,1,0,0,0,0
3,67,0,0,1,0,0,0,1,0,0,0,0
3,61.66666667,0,0,1,0,0,0,1,0,0,0,0
3,83.58333333,0,0,1,0,0,0,1,0,0,0,0
3,94.5,0,0,1,0,0,0,1,0,0,0,0
3,83.41666667,0,0,1,0,0,0,1,0,0,0,0
3,94.41666667,0,0,1,0,0,0,1,0,0,0,1
3,74.33333333,0,0,1,0,0,0,1,0,0,0,0
3,94.41666667,0,0,1,0,0,0,1,0,0,0,0
3,61.91666667,0,0,1,0,0,0,1,0,0,0,0
3,73.91666667,0,0,1,0,0,0,1,0,0,0,0
3,83.41666667,0,0,1,0,0,0,1,0,0,0,0
3,87.75,0,0,1,0,0,0,1,0,0,0,1
3,83.33333333,0,0,1,0,0,0,1,0,0,0,0
3,61.75,0,0,1,0,0,0,1,0,0,0,0
3,66.25,0,0,1,0,0,0,1,0,0,0,0
3,64.16666667,0,0,1,0,0,0,1,0,0,0,0
3,70.5,0,0,1,0,0,0,1,0,0,0,0
3,94.08333333,0,0,1,0,0,0,1,0,0,0,0
3,94,0,0,1,0,0,0,1,0,0,0,0
3,94,0,0,1,0,0,0,1,0,0,0,0
3,78.5,0,0,1,0,0,0,1,0,0,0,1
3,62.66666667,0,0,1,0,0,0,1,0,0,0,0
3,94.75,0,0,1,0,0,0,1,0,0,0,1
3,64.16666667,0,0,1,0,0,0,1,0,0,0,0
3,89.75,0,0,1,0,0,0,1,0,0,0,0
3,63.33333333,0,0,1,0,0,0,1,0,0,0,0
3,62.58333333,0,0,1,0,0,0,1,0,0,0,0
3,76.25,0,0,1,0,0,0,1,0,0,0,0
3,83.08333333,0,0,1,0,0,0,1,0,0,0,1
3,78.25,0,0,1,0,0,0,1,0,0,0,1
3,75.25,0,0,1,0,0,0,1,0,0,0,0
3,74.16666667,0,0,1,0,0,0,1,0,0,0,0
3,84.58333333,0,0,1,0,0,0,1,0,0,0,1
3,94.58333333,0,0,1,0,0,0,1,0,0,0,1
3,94.5,0,0,1,0,0,0,1,0,0,0,1
3,94.58333333,0,0,1,0,0,0,1,0,0,0,1
3,63.83333333,0,0,1,0,0,0,1,0,0,0,0
3,62.33333333,0,0,1,0,0,0,1,0,0,0,0
3,94.5,0,0,1,0,0,0,1,0,0,0,1
3,94.5,0,0,1,0,0,0,1,0,0,0,1
3,61.16666667,0,0,1,0,0,0,1,0,0,0,0
3,77.91666667,0,0,1,0,0,0,1,0,0,0,0
3,75.41666667,0,0,1,0,0,0,1,0,0,0,0
3,89.5,0,0,1,0,0,0,1,0,0,0,1
3,78,0,0,1,0,0,0,1,0,0,0,1
3,94.33333333,0,0,1,0,0,0,1,0,0,0,1
3,78,0,0,1,0,0,0,1,0,0,0,1
3,62.25,0,0,1,0,0,0,1,0,0,0,0
3,82.58333333,0,0,1,0,0,0,1,0,0,0,1
3,77.75,0,0,1,0,0,0,1,0,0,0,0
3,94.08333333,0,0,1,0,0,0,1,0,0,0,1
3,61.16666667,0,0,1,0,0,0,1,0,0,0,0
3,77.66666667,0,0,1,0,0,0,1,0,0,0,1
3,89.16666667,0,0,1,0,0,0,1,0,0,0,1
3,82.5,0,0,1,0,0,0,1,0,0,0,1
3,74.41666667,0,1,0,0,0,0,1,0,0,0,0
3,79.58333333,0,1,0,0,0,0,1,0,0,0,0
3,79.58333333,0,1,0,0,0,0,1,0,0,0,0
3,70.66666667,0,1,0,0,0,0,1,0,0,0,0
3,70.33333333,0,1,0,0,0,0,1,0,0,0,0
3,64.08333333,0,1,0,0,0,0,1,0,0,0,0
3,64,0,1,0,0,0,0,1,0,0,0,0
3,64.08333333,0,1,0,0,0,0,1,0,0,0,0
3,70.5,0,1,0,0,0,0,1,0,0,0,0
3,70.58333333,0,1,0,0,0,0,1,0,0,0,0
3,64,0,1,0,0,0,0,1,0,0,0,0
3,70.41666667,0,1,0,0,0,0,1,0,0,0,0
3,63.91666667,0,1,0,0,0,0,1,0,0,0,0
3,63.91666667,0,1,0,0,0,0,1,0,0,0,0
3,70.08333333,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,67.75,0,1,0,0,0,0,1,0,0,0,0
3,68,0,1,0,0,0,0,1,0,0,0,0
3,66.33333333,0,1,0,0,0,0,1,0,0,0,0
3,70.25,0,1,0,0,0,0,1,0,0,0,0
3,67.75,0,1,0,0,0,0,1,0,0,0,0
3,70.33333333,0,1,0,0,0,0,1,0,0,0,0
3,70.25,0,1,0,0,0,0,1,0,0,0,0
3,70.16666667,0,1,0,0,0,0,1,0,0,0,0
3,66,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,69.83333333,0,1,0,0,0,0,1,0,0,0,0
3,67.83333333,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,70.08333333,0,1,0,0,0,0,1,0,0,0,0
3,69.83333333,0,1,0,0,0,0,1,0,0,0,0
3,70,0,1,0,0,0,0,1,0,0,0,0
3,69.75,0,1,0,0,0,0,1,0,0,0,0
3,70,0,1,0,0,0,0,1,0,0,0,0
3,69.75,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,69.66666667,0,1,0,0,0,0,1,0,0,0,0
3,67.41666667,0,1,0,0,0,0,1,0,0,0,0
3,70,0,1,0,0,0,0,1,0,0,0,0
3,69.66666667,0,1,0,0,0,0,1,0,0,0,0
3,69.66666667,0,1,0,0,0,0,1,0,0,0,0
3,69.5,0,1,0,0,0,0,1,0,0,0,0
3,69.75,0,1,0,0,0,0,1,0,0,0,0
3,69.5,0,1,0,0,0,0,1,0,0,0,0
3,69.75,0,1,0,0,0,0,1,0,0,0,0
3,69.66666667,0,1,0,0,0,0,1,0,0,0,0
3,76.25,0,1,0,0,0,0,1,0,0,0,0
3,65.91666667,0,1,0,0,0,0,1,0,0,0,0
3,76,0,1,0,0,0,0,1,0,0,0,0
3,76.83333333,0,1,0,0,0,0,1,0,0,0,0
3,70.75,0,1,0,0,0,0,1,0,0,0,0
3,76.5,0,1,0,0,0,0,1,0,0,0,0
3,77.66666667,0,1,0,0,0,0,1,0,0,0,0
3,66.16666667,0,1,0,0,0,0,1,0,0,0,0
3,67.5,0,1,0,0,0,0,1,0,0,0,0
3,76.41666667,0,1,0,0,0,0,1,0,0,0,0
3,68.16666667,0,1,0,0,0,0,1,0,0,0,0
3,67.58333333,0,1,0,0,0,0,1,0,0,0,0
3,92.91666667,0,1,0,0,0,0,1,0,0,0,0
3,77.16666667,0,1,0,0,0,0,1,0,0,0,0
3,92.91666667,0,1,0,0,0,0,1,0,0,0,0
3,61.91666667,0,1,0,0,0,0,1,0,0,0,0
3,70.5,0,1,0,0,0,0,1,0,0,0,0
3,92.83333333,0,1,0,0,0,0,1,0,0,0,0
3,67.33333333,0,1,0,0,0,0,1,0,0,0,0
3,95.16666667,0,1,0,0,0,0,1,0,0,0,0
3,64.58333333,0,1,0,0,0,0,1,0,0,0,0
3,81.08333333,0,1,0,0,0,0,1,0,0,0,0
3,62.66666667,0,1,0,0,0,0,1,0,0,0,0
3,93.91666667,0,1,0,0,0,0,1,0,0,0,0
3,77.5,0,1,0,0,0,0,1,0,0,0,0
3,61.83333333,0,1,0,0,0,0,1,0,0,0,0
3,65.41666667,0,1,0,0,0,0,1,0,0,0,0
3,66.58333333,0,1,0,0,0,0,1,0,0,0,0
3,95.08333333,0,1,0,0,0,0,1,0,0,0,0
3,70.33333333,0,1,0,0,0,0,1,0,0,0,0
3,75.58333333,0,1,0,0,0,0,1,0,0,0,0
3,65.33333333,0,1,0,0,0,0,1,0,0,0,0
3,74.75,0,1,0,0,0,0,1,0,0,0,0
3,92.66666667,0,1,0,0,0,0,1,0,0,0,0
3,68.5,0,1,0,0,0,0,1,0,0,0,0
3,70.25,0,1,0,0,0,0,1,0,0,0,0
3,70.25,0,1,0,0,0,0,1,0,0,0,0
3,76.16666667,0,1,0,0,0,0,1,0,0,0,0
3,95.08333333,0,1,0,0,0,0,1,0,0,0,0
3,61.83333333,0,1,0,0,0,0,1,0,0,0,0
3,94.91666667,0,1,0,0,0,0,1,0,0,0,0
3,60.66666667,0,1,0,0,0,0,1,0,0,0,0
3,75.66666667,0,1,0,0,0,0,1,0,0,0,0
3,66.83333333,0,1,0,0,0,0,1,0,0,0,0
3,77.16666667,0,1,0,0,0,0,1,0,0,0,0
3,65,0,1,0,0,0,0,1,0,0,0,0
3,94.75,0,1,0,0,0,0,1,0,0,0,0
3,94.83333333,0,1,0,0,0,0,1,0,0,0,0
3,64.75,0,1,0,0,0,0,1,0,0,0,0
3,76,0,1,0,0,0,0,1,0,0,0,0
3,75.25,0,1,0,0,0,0,1,0,0,0,0
3,63.25,0,1,0,0,0,0,1,0,0,0,0
3,67.41666667,0,1,0,0,0,0,1,0,0,0,0
3,95.33333333,0,1,0,0,0,0,1,0,0,0,0
3,61.25,0,1,0,0,0,0,1,0,0,0,0
3,68.58333333,0,1,0,0,0,0,1,0,0,0,0
3,75.91666667,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,76.33333333,0,1,0,0,0,0,1,0,0,0,0
3,92.5,0,1,0,0,0,0,1,0,0,0,0
3,69.91666667,0,1,0,0,0,0,1,0,0,0,0
3,68.08333333,0,1,0,0,0,0,1,0,0,0,0
3,80.66666667,0,1,0,0,0,0,1,0,0,0,0
3,69.83333333,0,1,0,0,0,0,1,0,0,0,0
3,69.83333333,0,1,0,0,0,0,1,0,0,0,0
3,92.5,0,1,0,0,0,0,1,0,0,0,0
3,67.08333333,0,1,0,0,0,0,1,0,0,0,0
3,95,0,1,0,0,0,0,1,0,0,0,0
